"_ano_pesquisa","regiao_onde_mora","nivel","modelo_de_trabalho_atual","qtd_respondentes"
"2025","Nordeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2025",,"Pleno","Modelo híbrido com dias fixos de trabalho presencial","5"
"2025","Norte","Júnior","Modelo 100% presencial","5"
"2025","Norte","Pleno","Modelo 100% remoto","5"
"2025","Centro-oeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2025",,"Pleno","Modelo 100% presencial","5"
"2025","Nordeste","Especialista/Staff+","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2025",,"Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2025","Nordeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","4"
"2025","Centro-oeste","Especialista/Staff+","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2025","Nordeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2025","Norte","Pleno","Modelo 100% presencial","4"
"2025",,"Especialista/Staff+","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","3"
"2025","Centro-oeste","Especialista/Staff+","Modelo 100% presencial","3"
"2025","Centro-oeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","3"
"2025",,"Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","3"
"2025","Norte","Especialista/Staff+","Modelo 100% remoto","3"
"2025",,,"Modelo híbrido com dias fixos de trabalho presencial","3"
"2025",,"Sênior","Modelo 100% presencial","2"
"2025",,"Especialista/Staff+","Modelo híbrido com dias fixos de trabalho presencial","2"
"2025",,"Júnior","Modelo 100% presencial","2"
"2025","Nordeste","Especialista/Staff+","Modelo híbrido com dias fixos de trabalho presencial","2"
"2025","Norte","Sênior","Modelo híbrido com dias fixos de trabalho presencial","2"
"2025","Norte","Júnior","Modelo 100% remoto","2"
"2025","Norte",,"Modelo 100% remoto","2"
"2025",,"Júnior","Modelo híbrido com dias fixos de trabalho presencial","2"
"2025","Norte","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2025","Centro-oeste","Especialista/Staff+","Modelo híbrido com dias fixos de trabalho presencial","1"
"2025",,"Júnior","Modelo 100% remoto","1"
"2025","Norte","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2025","Norte",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2025","Sul","Especialista/Staff+","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2025","Nordeste","Especialista/Staff+","Modelo 100% presencial","1"
"2025","Norte",,"Modelo 100% presencial","1"
