"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023","Outra Opção","Pleno","Feminino","Preta","Não","2"
"2023","Cientista de Dados/Data Scientist","Sênior","Prefiro não informar","Prefiro não informar","Não","2"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","Masculino","Parda","Não","2"
"2023","Analista de Negócios/Business Analyst","Pleno","Masculino","Amarela","Não","2"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","Feminino","Branca","Não","2"
"2023","Outras Engenharias (não inclui dev)","Júnior","Feminino","Branca","Não","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Feminino","Branca","Não","2"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","Feminino","Parda","Não","2"
"2023","Estatístico","Júnior","Masculino","Parda","Não","2"
"2023","DBA/Administrador de Banco de Dados","Pleno","Masculino","Parda","Não","2"
"2023","Estatístico","Sênior","Masculino","Branca","Não","2"
"2023",,,"Feminino","Indígena","Não","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Feminino","Parda","Não","2"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","Feminino","Preta","Não","2"
"2023","Analista de Negócios/Business Analyst","Júnior","Masculino","Amarela","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Prefiro não informar","Não","2"
"2023","Analista de Dados/Data Analyst","Sênior","Outro","Branca","Não","2"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","Masculino","Preta","Não","2"
"2023",,,"Masculino","Preta","Sim","2"
"2023","Analista de Negócios/Business Analyst","Pleno","Feminino","Amarela","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Parda","Sim","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Feminino","Preta","Não","2"
"2023","Outra Opção","Júnior","Masculino","Branca","Sim","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Amarela","Não","2"
"2023","Analista de Suporte/Analista Técnico","Júnior","Masculino","Preta","Não","2"
"2023","Outras Engenharias (não inclui dev)","Pleno","Feminino","Branca","Não","2"
"2023","Estatístico","Sênior","Masculino","Parda","Não","2"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","Feminino","Parda","Não","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Masculino","Branca","Sim","2"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Prefiro não informar","Não","2"
"2023","Cientista de Dados/Data Scientist","Pleno","Prefiro não informar","Branca","Não","2"
"2023","Outras Engenharias (não inclui dev)","Sênior","Masculino","Parda","Não","2"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Amarela","Não","2"
"2023","Professor/Pesquisador","Sênior","Feminino","Branca","Não","2"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Prefiro não informar","Não","2"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","Masculino","Amarela","Não","2"
"2023","Analytics Engineer","Pleno","Masculino","Preta","Não","2"
"2023","Analytics Engineer","Pleno","Feminino","Preta","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Feminino","Preta","Não","2"
"2023","Professor/Pesquisador","Sênior","Masculino","Parda","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Amarela","Não","2"
"2023","Analista de Suporte/Analista Técnico","Sênior","Feminino","Branca","Não","2"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Preta","Não","2"
"2023","DBA/Administrador de Banco de Dados","Sênior","Feminino","Parda","Não","2"
